Eastside Hockey Manager,1295.00
Baldur's Gate II Enhanced Edition,475.26
FIFA Manager 09,411.00
Perpetuum,400.98
Football Manager 2014,391.98
Football Manager 2012,390.45
Football Manager 2010,375.05
Football Manager 2011,365.70
Freaking Meatbags,331.00
Out of the Park Baseball 16,330.40
Football Manager 2015,315.36
Football Manager 2013,310.66
FINAL FANTASY XIV A Realm Reborn,300.84
Worldwide Soccer Manager 2009,295.00
X-Plane 10 Global - 64 Bit,268.02
NOBUNAGA'S AMBITION Kakushin with Power Up Kit,267.00
Counter-Strike,236.38
Counter-Strike Global Offensive,234.40
FIFA Manager 11,229.00
Avernum 4,228.00
MLB 2K10,228.00
Avernum 5,222.00
Marvel Puzzle Quest,211.29
Sword of the Stars Complete Collection,209.55
Pro Evolution Soccer 2015,208.38
Dota 2,202.79
Europa Universalis IV,195.18
Cultures - Northland,194.00
Football Manager 2009,185.86
Silent Hunter Wolves of the Pacific U-Boat Missions,185.00
King's Bounty Dark Side,183.00
Mount & Blade Warband,182.63
Uncharted Waters Online,181.00
Sid Meier's Civilization V,180.18
Disciples III Reincarnation,179.15
Pro Cycling Manager 2014,177.50
Scarygirl,173.00
Silent Hunter Wolves of the Pacific,172.40
Imperial Glory,170.00
Prime World,169.04
Movie Studio 13 Platinum - Steam Powered,166.00
Stargate Resistance,162.00
Sid Meier's Civilization IV Beyond the Sword,161.59
Empires,156.10
King's Bounty Warriors of the North,153.26
Arma 3,153.22
Supreme Ruler Cold War,150.13
STORM Frontline Nation,149.48
Nobunaga's Ambition Souzou with Power Up Kit,148.33
Guild Wars,147.92
Call of Duty Modern Warfare 2 - Multiplayer,144.36
The Treasures of Montezuma 4,138.60
Out of the Park Baseball 15,137.30
Total War ROME II - Emperor Edition,136.55
NBA 2K15,135.73
Baldur's Gate Enhanced Edition,134.56
Counter-Strike Source,134.37
Distant Worlds Universe,132.00
Battle Nations,131.40
Eschalon Book 2,128.00
Sigils of Elohim,127.40
Winning Post 8 2015,127.00
Fieldrunners 2,124.53
Mabinogi,124.04
Bard's Gold,119.00
Crusader Kings II,118.69
Shattered Union,116.00
Pro Cycling Manager 2013,107.67
OMSI 2,107.56
MLB 2K11,107.00
Call of Duty Modern Warfare 3 - Multiplayer,105.12
The Elder Scrolls V Skyrim,104.71
Might & Magic Duel of Champions,104.66
Out of the Park Baseball 14,103.00
Might & Magic Heroes VI,100.96
Kingdoms CCG,100.40
Stronghold Kingdoms,100.07
Nightbanes,99.00
Empire Total War,98.27
Build-A-Lot 4,97.00
Glare,95.00
Blood Bowl Chaos Edition,94.02
Call of Duty United Offensive,93.53
NBA 2K14,93.22
Anno Online,93.03
Disciples III Renaissance,92.35
Might & Magic Heroes VII,91.80
Call of Duty Black Ops II - Multiplayer,91.50
NBA 2K12,91.25
Chocolatier Decadence by Design,90.00
Clicker Heroes,89.84
Action! - Gameplay Recording and Streaming,89.67
Don Bradman Cricket 14,89.00
Crusaders of the Lost Idols,88.41
Total War SHOGUN 2,88.05
DARK SOULS II,87.24
Call of Duty Black Ops - Multiplayer,86.59
ARK Survival Evolved,86.03
Grotesque Tactics 2 - Dungeons and Donuts,86.00
Avernum Escape From the Pit,85.67
Grand Theft Auto V,85.34
Football Manager 2016,85.06
Mutant Mudds Deluxe,84.95
Supreme Commander Forged Alliance,84.92
The Binding of Isaac Rebirth,84.19
Heroes of Might & Magic V Tribes of the East,83.78
Age of Empires Online,83.20
NBA 2K16,82.77
DayZ,82.58
Avernum 6,80.00
Black Ink,79.77
